time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1/1/00,51,75.9,69.6,72.3,75.8,70.5,72.7,2000-01-01T07:07,2000-01-01T17:40,38012.65,34230.95,0.1,0.1,0,1,13.5,21.3,80,13.4,3.2
1/2/00,1,76.1,70.3,72.6,75,69.3,71.7,2000-01-02T07:07,2000-01-02T17:41,38036.15,34630.02,0,0,0,0,13.7,22.1,69,15.4,3.9
1/3/00,51,76.6,71.2,73.7,75.8,71.3,73.9,2000-01-03T07:07,2000-01-03T17:42,38061.85,33985.65,0.5,0.5,0,3,15.5,24.6,101,11.78,3.16
1/4/00,51,77.6,71.5,74.3,80.4,74.3,77.1,2000-01-04T07:08,2000-01-04T17:42,38089.7,34169,0.2,0.2,0,1,13,21.3,141,13.56,2.89
1/5/00,51,75.7,67.9,71.1,76.1,69.8,73.1,2000-01-05T07:08,2000-01-05T17:43,38119.63,29369.16,0.6,0.6,0,6,15.7,26.6,28,10.42,2.22
1/6/00,51,76.5,71.3,73.3,77.1,70.8,74.1,2000-01-06T07:08,2000-01-06T17:44,38151.58,34353.88,0.8,0.8,0,7,15,27.5,88,12.65,2.89
1/7/00,1,77.3,71.3,73.5,78.6,73.6,75.8,2000-01-07T07:08,2000-01-07T17:45,38185.49,34435.36,0,0,0,0,11.9,19,81,13.4,2.88
1/8/00,1,76.8,70.9,73.3,78.7,74.1,75.7,2000-01-08T07:08,2000-01-08T17:45,38221.3,34444.24,0,0,0,0,10.9,17.9,76,14.37,2.99
1/9/00,1,77.6,70.6,73.8,79.6,73,76.2,2000-01-09T07:08,2000-01-09T17:46,38258.95,34822.23,0,0,0,0,10.6,18.1,129,14.03,3.04
1/10/00,1,79.5,71.7,74.9,81.1,72.9,76.8,2000-01-10T07:08,2000-01-10T17:47,38298.38,34785.95,0,0,0,0,11.9,20.8,178,14.67,3.42
1/11/00,3,77.9,67.5,72.2,82.8,72.9,76.3,2000-01-11T07:09,2000-01-11T17:48,38339.54,32388.08,0,0,0,0,8.9,16.1,143,13.81,2.76
1/12/00,0,76.7,69.4,72.7,74.7,67.8,71.8,2000-01-12T07:09,2000-01-12T17:48,38382.33,35451.15,0,0,0,0,13,21.5,61,16.57,4.1
1/13/00,51,75.7,69.2,72.1,78.2,71.1,74.7,2000-01-13T07:09,2000-01-13T17:49,38426.73,35032.57,0.4,0.4,0,3,7.8,13,80,11.97,2.53
1/14/00,3,72.7,62.4,66.4,69.5,50.5,59.4,2000-01-14T07:09,2000-01-14T17:50,38472.66,34639.29,0,0,0,0,28.9,46.5,17,14.51,4
1/15/00,51,66.3,62.5,64.3,56.5,50.7,54.1,2000-01-15T07:09,2000-01-15T17:51,38520.07,24751.91,0.2,0.2,0,2,26.6,44.3,54,9.26,4.6
1/16/00,51,68.9,64.9,66.5,63.1,56.4,60.1,2000-01-16T07:09,2000-01-16T17:51,38568.89,20780.5,0.1,0.1,0,1,18.9,30.2,63,8.3,4.03
1/17/00,1,72.2,62.7,66.9,67.3,59.4,62.4,2000-01-17T07:08,2000-01-17T17:52,38619.08,35709.99,0,0,0,0,12.1,19.7,7,16.69,4.28
1/18/00,1,74.4,60.5,67,72.5,58,64.2,2000-01-18T07:08,2000-01-18T17:53,38670.55,35766.07,0,0,0,0,13.4,20.6,319,16.39,3.82
1/19/00,3,75.6,61.3,67.7,74.3,59.7,66,2000-01-19T07:08,2000-01-19T17:54,38723.48,30915.4,0,0,0,0,12,19.7,285,13.02,3.12
1/20/00,51,76.2,64,69.5,70.2,62.4,66.1,2000-01-20T07:08,2000-01-20T17:54,38778.41,35158.52,0.2,0.2,0,1,23.1,36,257,11.12,3.43
1/21/00,0,66.6,55.2,60.9,61.6,47.6,55,2000-01-21T07:08,2000-01-21T17:55,38835.25,35945.9,0,0,0,0,16.9,25.5,348,17.5,3.92
1/22/00,2,70.3,59.6,64.9,67.4,55.9,61.9,2000-01-22T07:08,2000-01-22T17:56,38893.94,35908.82,0,0,0,0,10.2,18.6,90,14.81,3.37
1/23/00,2,76.7,66.6,71.3,75.4,64.2,69.9,2000-01-23T07:07,2000-01-23T17:57,38954.35,35846.83,0,0,0,0,12.8,23.9,161,15.98,4.03
1/24/00,63,72.5,56.2,68.7,71.3,47.7,65.4,2000-01-24T07:07,2000-01-24T17:57,39016.4,20885.85,11.9,11.9,0,11,21.7,36,242,9.48,2.61
1/25/00,3,62.9,51.4,56.9,55.4,43.7,49.6,2000-01-25T07:07,2000-01-25T17:58,39079.99,31633.23,0,0,0,0,17.3,28.2,294,15.28,3.38
1/26/00,2,60.2,52.9,56.7,52.6,46,50.2,2000-01-26T07:06,2000-01-26T17:59,39145.04,35304.5,0,0,0,0,16.1,26.6,312,17.45,3.27
1/27/00,1,61.7,46.7,54.8,56.5,39.2,49,2000-01-27T07:06,2000-01-27T18:00,39211.44,36354.72,0,0,0,0,11.8,18.6,10,17.99,3.3
1/28/00,3,69.4,61.1,66.2,65.3,56.5,61.9,2000-01-28T07:06,2000-01-28T18:00,39279.1,13809.64,0,0,0,0,14.8,23.7,95,8.33,3.2
1/29/00,51,73.5,67.9,70.2,72.8,65.1,68.8,2000-01-29T07:05,2000-01-29T18:01,39347.94,36403.21,0.1,0.1,0,1,14.2,22.8,115,13.62,3.46
1/30/00,51,74.8,68.2,70.9,74.7,67.6,70.9,2000-01-30T07:05,2000-01-30T18:02,39417.86,36217.5,0.5,0.5,0,4,12.2,23.5,132,14.78,3.3
1/31/00,51,75.2,63.8,69.7,80,65.4,71.9,2000-01-31T07:05,2000-01-31T18:03,39488.79,36654.36,0.4,0.4,0,3,11.8,19.5,60,14.91,2.91
2/1/00,51,73.6,65.7,69.3,77.3,67.8,71.3,2000-02-01T07:04,2000-02-01T18:03,39560.62,35165.91,1.5,1.5,0,6,10.2,17.4,50,13.81,2.59
2/2/00,51,71.4,67.3,69.1,70.3,66.6,68.7,2000-02-02T07:04,2000-02-02T18:04,39633.27,24719.4,2,2,0,11,14.1,23.9,55,9.03,2.21
2/3/00,61,73.2,66.4,70,74.9,67.2,71.4,2000-02-03T07:03,2000-02-03T18:05,39706.68,31388.1,13.9,13.9,0,11,13.4,22.8,143,12.65,2.49
2/4/00,53,72.1,65.8,68.5,76,63.8,70.9,2000-02-04T07:03,2000-02-04T18:06,39780.74,29270.3,1.6,1.6,0,6,7.9,15.4,340,10.83,2.1
2/5/00,1,66.4,57.7,61.4,61.6,51.5,55.6,2000-02-05T07:02,2000-02-05T18:06,39855.38,37048.08,0,0,0,0,15.9,25.1,344,19.01,4
