time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),daylight_duration (s),sunshine_duration (s),uv_index_max (),uv_index_clear_sky_max (),precipitation_sum (mm),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),precipitation_hours (h),precipitation_probability_max (%),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
1/1/22,80.5,70.3,84.5,74.3,38023.27,34034.99,3.15,5.2,0,0,0,0,0,NaN,12.1,16.6,141,13.51,2.69
1/2/22,81.8,71.4,85.5,75,38047.13,32854.18,5.25,5.25,0,0,0,0,0,NaN,12.7,19,158,13.79,2.87
1/3/22,80.5,65.8,85,62.2,38073.07,22102.41,4.75,5.2,0,0,0,0,0,NaN,10.4,20.4,276,11.62,2.46
1/4/22,77.3,62,77.2,60.4,38101.37,18571.42,2.85,5.25,0,0,0,0,0,NaN,9.6,17.9,19,10.42,2.62
1/5/22,78.6,68.8,84.6,70.5,38131.94,21600,4.75,5.2,0.7,0.7,0,0,1,NaN,6.4,16.1,154,9.23,1.98
1/6/22,79.9,62,81.2,64.3,38164.74,33509.56,5.15,5.25,0,0,0,0,0,NaN,8.1,13,326,15.31,2.91
1/7/22,81.9,69.2,87.3,73.6,38199.68,26535.68,4.15,5.25,0,0,0,0,0,NaN,7.1,15.2,359,11.2,2.33
1/8/22,78.4,70.8,81.6,75.1,38236.68,23707.79,4.8,5.25,0,0,0,0,0,NaN,12.8,22.4,51,10.26,2.17
1/9/22,78,71.5,81,74.1,38275.69,7200,4,5.25,1.5,1.5,0,0,2,NaN,13.4,27.7,75,5.9,1.58
1/10/22,81.8,70.3,89.4,73.8,38316.62,28899.96,4.6,5.25,0,0,0,0,0,NaN,5.4,17,36,9.94,1.93
1/11/22,75.6,63.8,76.3,65.2,38359.4,21257.71,4.95,5.3,2.9,2.9,0,0,5,NaN,12.7,25.5,354,10.25,1.81
1/12/22,73.8,67.2,73.4,66.7,38403.96,19319.8,4.35,5.25,1.9,1.9,0,0,4,NaN,12.8,26.6,50,11.11,2.39
1/13/22,75.5,62.3,77.6,61.3,38450.23,24301.59,5.35,5.35,2.5,2.5,0,0,1,NaN,7.6,22.1,302,12.63,2.6
1/14/22,72.1,56.9,67.7,56.4,38498.12,33971.06,5.35,5.35,0,0,0,0,0,NaN,10.5,20.6,319,17.06,3.28
1/15/22,76.1,54.7,75,53.5,38547.59,30376.07,5.45,5.45,0,0,0,0,0,NaN,7.1,21,155,16.13,3.12
1/16/22,76.8,62.3,75.3,61.5,38598.54,8991.91,4.1,5.45,0.4,0.4,0,0,1,NaN,17.1,33.1,181,6.07,1.98
1/17/22,74.3,59.3,69.8,56.9,38650.91,30390.6,4.2,5.5,0,0,0,0,0,NaN,15.1,28.9,275,14.41,3.17
1/18/22,68.7,52.9,66.1,49.9,38704.63,34000.14,5.55,5.55,0,0,0,0,0,NaN,7.3,16.1,333,18.26,3.24
1/19/22,74.6,54,74.2,52.5,38759.63,24173.19,5.6,5.6,0,0,0,0,0,NaN,8,14.1,71,13.78,2.61
1/20/22,78.8,63.9,82.5,66.4,38815.85,12669.69,5.5,5.65,2.2,2.2,0,0,2,NaN,11.9,16.1,121,8.64,1.82
1/21/22,79.7,69.1,88.1,74.4,38873.2,34038.14,5.6,5.7,9.8,9.8,0,0,3,NaN,5.7,12.3,152,15.99,2.9
1/22/22,77.5,64.1,83.1,65.8,38931.64,10800,5.15,5.7,0,0,0,0,0,NaN,10.4,15,338,9.1,1.74
1/23/22,64.1,50.5,66.4,46.2,38991.31,2537.46,5.75,5.75,0,0,0,0,0,NaN,10.9,18.3,310,5.55,1
1/24/22,63.4,43.8,59.3,39.1,39052.83,32400,5.8,5.8,0,0,0,0,0,NaN,9.4,20.1,320,18.27,2.65
1/25/22,73.9,51,75.7,48.1,39116.12,33278.49,5.45,5.85,0,0,0,0,0,NaN,7.2,17.4,61,17.13,2.98
1/26/22,80.2,68,86,67.7,39181.09,19734.09,4.45,5.85,1.4,1.4,0,0,2,NaN,11.9,27.3,202,9.71,2.05
1/27/22,79.4,67.4,87.3,71.2,39247.65,21600,5.7,5.9,50.8,50.8,0,0,2,NaN,6.1,9.8,341,11.15,2.13
1/28/22,72.1,62.9,73.5,65.1,39315.68,3600,5.5,5.9,0,0,0,0,0,NaN,10.2,21.9,282,9.61,1.68
1/29/22,64.8,44.9,65,39.3,39385.09,30130.53,5.6,5.9,0,0,0,0,0,NaN,19,36,301,18.62,3.46
1/30/22,62.4,39.1,57.1,30.7,39455.8,34239.21,5.85,5.85,0,0,0,0,0,NaN,11.1,27.3,330,19.84,3.49
1/31/22,68.3,45.6,66.4,40.7,39527.71,30845.63,5.9,5.9,0,0,0,0,0,NaN,11.1,16.8,8,14.81,2.86
2/1/22,72.8,56.6,70.3,53.9,39600.72,15806.56,5.9,6,0,0,0,0,0,NaN,13.9,18.8,64,14.48,3.41
2/2/22,76.3,64.2,75.9,62.9,39674.75,34332.39,5.55,6,0,0,0,0,0,NaN,14.4,26.4,94,15.63,3.44
2/3/22,78.3,68,81.9,68.9,39749.71,34794.7,6.15,6.15,0,0,0,0,0,NaN,13.4,25.9,105,16.67,3.41
2/4/22,78.7,68.6,83.3,70.9,39825.5,34400.55,5.9,6.2,0,0,0,0,0,NaN,11.7,21.5,125,15.4,2.91
2/5/22,79.2,66.8,86.6,70.8,39902.05,27171.97,6.3,6.3,1.1,1.1,0,0,1,NaN,7.8,12.3,99,12.4,2.45
2/6/22,79,66,83.9,70.4,39979.27,31176.61,6.35,6.35,0,0,0,0,0,NaN,7.9,11.2,169,16.98,3.19
2/7/22,79.5,66.2,85.3,70.6,40057.07,25292.72,6.35,6.35,0,0,0,0,0,NaN,9.4,11.2,160,16.08,2.99
2/8/22,79.1,66.5,87.2,69,40135.38,28079.28,6.4,6.4,0,0,0,0,0,NaN,8,18.8,10,15.69,2.94
2/9/22,65.8,61.7,68.2,62.2,40214.1,0,5.15,6.45,2.5,2.5,0,0,1,NaN,9.1,18.8,339,3.21,0.66
2/10/22,76.6,56.5,80.9,54.7,40293.16,35880.47,6.5,6.5,0,0,0,0,0,NaN,8.8,21.9,357,19.31,3.42
2/11/22,77.5,64.4,82.9,67.7,40372.5,16871.85,6.55,6.55,2.5,2.5,0,0,1,NaN,8.1,11,71,11.3,2.19
2/12/22,80.7,67.4,90.5,71.5,40452.28,31737.31,6.6,6.6,0,0,0,0,0,NaN,8.2,9.8,57,15.11,2.83
2/13/22,74,63.2,82.1,63.4,40533.21,2923.49,2.45,6.65,24.6,24.6,0,0,3,NaN,11.8,25.7,308,5.86,1.17
2/14/22,70.3,53.1,68.4,48.7,40615.23,36636.94,6.75,6.75,0,0,0,0,0,NaN,13.7,29.1,337,20.2,3.53
2/15/22,73.4,55.8,70.5,53.9,40698.26,9618.24,3.85,6.7,0,0,0,0,0,NaN,18.2,25.1,48,11.24,3.12
2/16/22,76.4,69.3,79.5,66.8,40782.22,25200,6.5,6.75,1,1,0,0,2,NaN,16.9,30.2,71,14.62,3.43
