,precipitation,actual_max_temp,min temp,mean temp,Datetime
0,0.0,81.0,63.0,72.0,2000-01-01
1,0.0,79.0,66.0,72.5,2000-01-02
2,0.0,80.0,64.0,72.0,2000-01-03
3,0.0,80.0,71.0,75.5,2000-01-04
4,0.24,80.0,67.0,73.5,2000-01-05
5,0.0,81.0,71.0,76.0,2000-01-06
6,0.0,80.0,68.0,74.0,2000-01-07
7,0.0,80.0,66.0,73.0,2000-01-08
8,0.0,81.0,65.0,73.0,2000-01-09
9,0.0,81.0,70.0,75.5,2000-01-10
10,0.0,84.0,64.0,74.0,2000-01-11
11,0.0,79.0,64.0,71.5,2000-01-12
12,0.02,79.0,64.0,71.5,2000-01-13
13,0.0,75.0,63.0,69.0,2000-01-14
14,0.0,70.0,64.0,67.0,2000-01-15
15,0.0,73.0,63.0,68.0,2000-01-16
16,0.0,74.0,58.0,66.0,2000-01-17
17,0.0,75.0,56.0,65.5,2000-01-18
18,0.0,77.0,59.0,68.0,2000-01-19
19,0.01,78.0,62.0,70.0,2000-01-20
20,0.0,67.0,52.0,59.5,2000-01-21
21,0.0,73.0,53.0,63.0,2000-01-22
22,0.0,79.0,57.0,68.0,2000-01-23
23,0.24,76.0,54.0,65.0,2000-01-24
24,0.0,66.0,48.0,57.0,2000-01-25
25,0.0,62.0,47.0,54.5,2000-01-26
26,0.0,65.0,43.0,54.0,2000-01-27
27,0.0,75.0,53.0,64.0,2000-01-28
28,0.0,77.0,63.0,70.0,2000-01-29
29,0.0,78.0,66.0,72.0,2000-01-30
30,0.01,79.0,62.0,70.5,2000-01-31
31,0.0,78.0,59.0,68.5,2000-02-01
32,0.0,72.0,64.0,68.0,2000-02-02
33,0.12,77.0,69.0,73.0,2000-02-03
34,0.01,72.0,62.0,67.0,2000-02-04
35,0.0,68.0,54.0,61.0,2000-02-05
36,0.0,72.0,50.0,61.0,2000-02-06
37,0.0,76.0,56.0,66.0,2000-02-07
38,0.68,68.0,59.0,63.5,2000-02-08
39,0.1,71.0,53.0,62.0,2000-02-09
40,0.0,71.0,49.0,60.0,2000-02-10
41,0.0,75.0,50.0,62.5,2000-02-11
42,0.0,78.0,56.0,67.0,2000-02-12
43,0.0,79.0,62.0,70.5,2000-02-13
44,0.0,81.0,69.0,75.0,2000-02-14
45,0.02,82.0,70.0,76.0,2000-02-15
46,0.0,79.0,64.0,71.5,2000-02-16
47,0.0,78.0,61.0,69.5,2000-02-17
48,0.0,81.0,69.0,75.0,2000-02-18
49,0.03,81.0,69.0,75.0,2000-02-19
50,0.0,83.0,65.0,74.0,2000-02-20
51,0.0,78.0,63.0,70.5,2000-02-21
52,0.04,77.0,59.0,68.0,2000-02-22
