time,open_meteo_forecast
1/1/22,80.5
1/2/22,81.8
1/3/22,80.5
1/4/22,77.3
1/5/22,78.6
1/6/22,79.9
1/7/22,81.9
1/8/22,78.4
1/9/22,78
1/10/22,81.8
1/11/22,75.6
1/12/22,73.8
1/13/22,75.5
1/14/22,72.1
1/15/22,76.1
1/16/22,76.8
1/17/22,74.3
1/18/22,68.7
1/19/22,74.6
1/20/22,78.8
1/21/22,79.7
1/22/22,77.5
1/23/22,64.1
1/24/22,63.4
1/25/22,73.9
1/26/22,80.2
1/27/22,79.4
1/28/22,72.1
1/29/22,64.8
1/30/22,62.4
1/31/22,68.3
2/1/22,72.8
2/2/22,76.3
2/3/22,78.3
2/4/22,78.7
2/5/22,79.2
2/6/22,79
2/7/22,79.5
2/8/22,79.1
2/9/22,65.8
2/10/22,76.6
2/11/22,77.5
2/12/22,80.7
2/13/22,74
2/14/22,70.3
2/15/22,73.4
2/16/22,76.4
2/17/22,79.8
2/18/22,81.7
2/19/22,84.5
2/20/22,77
2/21/22,77.8
2/22/22,80.2
2/23/22,80
2/24/22,80.5
2/25/22,80.8
2/26/22,80.9
2/27/22,80.9
2/28/22,85.2
3/1/22,80.2
3/2/22,75.7
3/3/22,78.8
3/4/22,80.1
3/5/22,79.9
3/6/22,80.8
3/7/22,80.9
3/8/22,81.8
3/9/22,83.4
3/10/22,82.1
3/11/22,84.1
3/12/22,86.9
3/13/22,73.7
3/14/22,74.3
3/15/22,77.5
3/16/22,82.1
3/17/22,81.7
3/18/22,83.8
3/19/22,83.8
3/20/22,84.3
3/21/22,78
3/22/22,79.9
3/23/22,83.5
3/24/22,84.5
3/25/22,78.8
3/26/22,79
3/27/22,81
3/28/22,83.1
3/29/22,84.5
3/30/22,80.9
3/31/22,82.2
4/1/22,86.7
4/2/22,86.1
4/3/22,84
4/4/22,80
4/5/22,83.8
4/6/22,87.7
4/7/22,91.2
4/8/22,80.9
4/9/22,80.5
4/10/22,76.4
4/11/22,78.2
4/12/22,80.6
4/13/22,81
4/14/22,84.5
4/15/22,80.9
4/16/22,81.9
4/17/22,83.3
4/18/22,85.7
4/19/22,85.9
4/20/22,80.3
4/21/22,81
4/22/22,81.2
4/23/22,81
4/24/22,82.8
4/25/22,81.9
4/26/22,83.3
4/27/22,83.9
4/28/22,86.3
4/29/22,80.9
4/30/22,82.1
5/1/22,83.4
5/2/22,83.8
5/3/22,85
5/4/22,86.4
5/5/22,89
5/6/22,89.5
5/7/22,92.3
5/8/22,91.5
5/9/22,85.3
5/10/22,82.6
5/11/22,85
5/12/22,81.3
5/13/22,82.3
5/14/22,87
5/15/22,87.9
5/16/22,86
5/17/22,87.4
5/18/22,90.4
5/19/22,89.6
5/20/22,90.3
5/21/22,88.1
5/22/22,89.4
5/23/22,87.2
5/24/22,87
5/25/22,88
5/26/22,86.8
5/27/22,87.5
5/28/22,88.6
5/29/22,87.9
5/30/22,83.6
5/31/22,82.2
6/1/22,89.9
6/2/22,85.9
6/3/22,76.8
6/4/22,84.8
6/5/22,85.6
6/6/22,85.9
6/7/22,83.1
6/8/22,84.5
6/9/22,87.3
6/10/22,85.2
6/11/22,84.3
6/12/22,87.2
6/13/22,90.8
6/14/22,89.5
6/15/22,90
6/16/22,89.6
6/17/22,87.1
6/18/22,89.7
6/19/22,90.9
6/20/22,87.2
6/21/22,87.1
6/22/22,86.4
6/23/22,87.5
6/24/22,90.4
6/25/22,89.8
6/26/22,89.3
6/27/22,87.3
6/28/22,89.6
6/29/22,89.3
6/30/22,89.2
7/1/22,89.5
7/2/22,89.6
7/3/22,90.3
7/4/22,88.3
7/5/22,87.9
7/6/22,87.1
7/7/22,89.8
7/8/22,90.6
7/9/22,90.7
7/10/22,90.8
7/11/22,91.9
7/12/22,91.7
7/13/22,92.6
7/14/22,90.7
7/15/22,87.7
7/16/22,88.3
7/17/22,91.2
7/18/22,90.5
7/19/22,90.5
7/20/22,90
7/21/22,91.1
7/22/22,88.2
7/23/22,90.4
7/24/22,89.9
7/25/22,89
7/26/22,85.2
7/27/22,87.3
7/28/22,88.4
7/29/22,89.6
7/30/22,86.4
7/31/22,90
8/1/22,90.7
8/2/22,91.3
8/3/22,90.5
8/4/22,90.3
8/5/22,89.6
8/6/22,91.4
8/7/22,88.1
8/8/22,90
8/9/22,91
8/10/22,90.5
8/11/22,91.4
8/12/22,91
8/13/22,89.8
8/14/22,89.7
8/15/22,92.4
8/16/22,91.2
8/17/22,92.6
8/18/22,94.2
8/19/22,94.2
8/20/22,91.8
8/21/22,91.7
8/22/22,91.6
8/23/22,93
8/24/22,91.8
8/25/22,92.5
8/26/22,93.8
8/27/22,90.7
8/28/22,88.5
8/29/22,88.6
8/30/22,92.2
8/31/22,88.6
9/1/22,92
9/2/22,91.3
9/3/22,91
9/4/22,91.5
9/5/22,92.8
9/6/22,92.6
9/7/22,93.5
9/8/22,89
9/9/22,88.1
9/10/22,92.5
9/11/22,92.4
9/12/22,91.4
9/13/22,89.8
9/14/22,84.1
9/15/22,86.2
9/16/22,86.1
9/17/22,86.7
9/18/22,82.9
9/19/22,84.4
9/20/22,88.6
9/21/22,87.5
9/22/22,90.7
9/23/22,92.8
9/24/22,89
9/25/22,89.8
9/26/22,86.6
9/27/22,81.2
9/28/22,83.6
9/29/22,82.7
9/30/22,82
10/1/22,83
10/2/22,84.8
10/3/22,88.7
10/4/22,85.4
10/5/22,85.6
10/6/22,85.6
10/7/22,85.9
10/8/22,82.5
